Date,Close,High,Low,Open,Volume,Symbol,SMA_20,SMA_50,EMA_20,EMA_50,Rolling_Std,BB_Upper,BB_Lower
2021-04-27,681.3507690429688,682.9136319631285,665.2961882990259,666.4564553260143,20592906,HDFCBANK.NS,,,681.3507690429688,681.3507690429688,,,
2021-04-28,699.39453125,700.4364013527586,677.7041854873546,680.1905215976332,24103940,HDFCBANK.NS,,,683.0692225864956,682.0583675608916,,,
2021-04-29,697.3580322265625,712.1103036895167,691.9117725521276,703.8461619317026,24078552,HDFCBANK.NS,,,684.4300615998353,682.6583544105258,,,
2021-04-30,668.84814453125,688.5020403312811,666.5748997239481,684.3344441215665,35232902,HDFCBANK.NS,,,682.9460694980653,682.116777552515,,,
2021-05-03,669.8662719726562,673.394535934582,652.2725306270976,659.7078363110799,22473700,HDFCBANK.NS,,,681.7003744956454,681.6363655689912,,,
2021-05-04,657.505615234375,673.9154441830442,655.1140315140075,667.7351002247756,21486328,HDFCBANK.NS,,,679.3961117088578,680.6900616343004,,,
2021-05-05,664.2542724609375,667.5693872393219,654.3562753461298,663.4965435023666,14421612,HDFCBANK.NS,,,677.9540317804845,680.0455208824038,,,
2021-05-06,663.44921875,668.1377499432683,660.6550389228186,666.6222341637894,11477044,HDFCBANK.NS,,,676.5726210156764,679.3946855046626,,,
2021-05-07,670.00830078125,674.838872933729,667.877155806155,669.1558196668091,12048334,HDFCBANK.NS,,,675.9474476600168,679.0265919860974,,,
2021-05-10,672.4236450195312,677.2305728857831,669.0848856230303,675.8098094461626,11060050,HDFCBANK.NS,,,675.611847408542,678.7676528893693,,,
2021-05-11,664.7042236328125,674.4837660986876,660.678727067445,661.128612382698,14519034,HDFCBANK.NS,,,674.5730260965678,678.2161458597004,,,
2021-05-12,662.7861938476562,667.09583170597,657.7424716999027,662.9045908097584,13774926,HDFCBANK.NS,,,673.4504706442905,677.6110497023653,,,
