Date,Close,High,Low,Open,Volume,Symbol
2021-04-27,681.3507690429688,682.9136319631285,665.2961882990259,666.4564553260143,20592906,HDFCBANK.NS
2021-04-28,699.39453125,700.4364013527586,677.7041854873546,680.1905215976332,24103940,HDFCBANK.NS
2021-04-29,697.3580322265625,712.1103036895167,691.9117725521276,703.8461619317026,24078552,HDFCBANK.NS
2021-04-30,668.84814453125,688.5020403312811,666.5748997239481,684.3344441215665,35232902,HDFCBANK.NS
2021-05-03,669.8662719726562,673.394535934582,652.2725306270976,659.7078363110799,22473700,HDFCBANK.NS
2021-05-04,657.505615234375,673.9154441830442,655.1140315140075,667.7351002247756,21486328,HDFCBANK.NS
2021-05-05,664.2542724609375,667.5693872393219,654.3562753461298,663.4965435023666,14421612,HDFCBANK.NS
2021-05-06,663.44921875,668.1377499432683,660.6550389228186,666.6222341637894,11477044,HDFCBANK.NS
2021-05-07,670.00830078125,674.838872933729,667.877155806155,669.1558196668091,12048334,HDFCBANK.NS
2021-05-10,672.4236450195312,677.2305728857831,669.0848856230303,675.8098094461626,11060050,HDFCBANK.NS
2021-05-11,664.7042236328125,674.4837660986876,660.678727067445,661.128612382698,14519034,HDFCBANK.NS
2021-05-12,662.7861938476562,667.09583170597,657.7424716999027,662.9045908097584,13774926,HDFCBANK.NS
2021-05-14,656.7952880859375,662.5020447148758,654.6641427937886,660.3471969061856,10604142,HDFCBANK.NS
2021-05-17,682.0848999023438,683.1978197859106,654.166919312643,660.7260994627449,15120692,HDFCBANK.NS
2021-05-18,699.34716796875,702.2123976389103,689.0703345571502,690.9409834750115,22165280,HDFCBANK.NS
2021-05-19,690.5857543945312,700.3653547002302,687.9100293890692,696.2688083859091,10130916,HDFCBANK.NS
2021-05-20,678.5567016601562,694.232448095952,676.5202507595741,690.6568366668654,10684184,HDFCBANK.NS
2021-05-21,709.10302734375,711.2815196347564,683.3871869956029,683.3871869956029,19341646,HDFCBANK.NS
2021-05-24,715.0939331054688,720.06660540615,709.6713754829415,711.9209177142021,22146102,HDFCBANK.NS
2021-05-25,700.4126586914062,716.8935373735985,696.41086487721,715.3543770125982,19236974,HDFCBANK.NS
